WMO_ID,n_casts,total_distance_km,straight_line_distance_km,avg_distance_per_cast_km,max_distance_per_cast_km,min_distance_per_cast_km,std_distance_per_cast_km,start_lat,start_lon,end_lat,end_lon,source
4902409.0,26,1167.2507676469286,221.5660026148106,46.69003070587714,132.44812109907647,2.3169223342945258,32.93982431296654,53.988189697265625,-38.51985168457031,52.05125045776367,-39.297489166259766,PFL1
5901457.0,170,4968.8938309148725,184.33171803283756,29.4017386444667,276.80291659886757,1.9100319908084704,30.995725717165094,4.932000160217285,-94.96399688720703,5.214000225067139,-93.3239974975586,PFL1
5901459.0,122,5737.664429997975,442.31753606013257,47.418714297503925,287.4115097542034,1.024797768018208,41.92094456633063,0.8410000205039978,-95.88300323486328,2.1110000610351562,-92.11199951171875,PFL1
5901460.0,92,3706.515387470871,560.4293571298076,40.730938323855725,245.54913314014757,4.57938323861118,37.25763082888468,-2.0209999084472656,-94.9260025024414,-2.936000108718872,-89.96499633789062,PFL1
5901461.0,10,318.6714958666864,122.00802842005412,35.40794398518738,103.83687611212783,14.29087280640178,26.02054909092471,9.036999702453613,-95.9010009765625,9.645999908447266,-96.82599639892578,PFL1
5901462.0,172,4980.034976356848,228.4306542810206,29.12301155764239,615.1671345735856,1.3337661923606794,54.49856471869558,6.968999862670898,-94.93499755859375,6.375,-92.95500183105469,PFL1
5901463.0,50,1787.6245191177047,136.10845636377107,36.48213304321846,159.15125955186545,4.3283460945332255,30.305996628628478,11.083000183105469,-96.6500015258789,11.996999740600586,-95.81900024414062,PFL1
5901464.0,19,770.9418712975082,26.827236715205107,42.83010396097268,117.88921888000647,6.687060249909593,30.829684584839168,13.024999618530273,-96.90599822998047,13.130000114440918,-96.68299865722656,PFL1
5901465.0,147,5099.656895211614,191.06946044244236,34.9291568165179,278.0576806271105,1.8939998707044654,35.214637286559025,-8.005000114440918,-95.2490005493164,-8.638097763061523,-96.86345672607422,PFL1
5901466.0,133,3463.795725124396,257.1224019678676,26.24087670548785,332.9390816757959,1.1173924903221486,38.844054848827916,-5.999000072479248,-95.1729965209961,-8.192999839782715,-94.43699645996094,PFL1
5901467.0,20,493.06601287537495,212.80979907663684,25.95084278291447,70.90180401597173,3.8216883936237234,16.778884767638935,-4.033999919891357,-95.22899627685547,-4.783999919891357,-96.99500274658203,PFL1
5902306.0,104,4626.091384602925,757.4149409157179,44.913508588377915,153.04430654386405,3.1549389901189064,32.307606359845714,48.74700164794922,-21.413999557495117,50.59600067138672,-11.27400016784668,PFL1
5902307.0,147,6282.525551385985,882.4274195099683,43.03099692730127,122.6827309887633,1.7160224840263498,24.542374148733064,45.845001220703125,-19.204999923706055,38.935001373291016,-24.500999450683594,PFL1
5903892.0,311,10135.140307341868,1207.5733901861738,32.69400099142538,596.4514904230845,0.3128165367620813,49.241464199536836,31.72599983215332,-64.20099639892578,22.173999786376953,-70.01000213623047,PFL1
5904479.0,123,5118.313613768362,1094.201376531748,41.953390276789854,202.24300929201658,6.947901280769067,29.1293552237119,52.823001861572266,-34.983001708984375,52.51599884033203,-18.729000091552734,PFL1
5904601.0,277,4780.247626523961,176.75355366748246,17.31973777726073,559.2020568844428,0.7861809133027059,46.2635018944374,-8.019000053405762,-95.28900146484375,-7.906000137329102,-96.88999938964844,PFL1
5904602.0,140,2490.875552161479,215.82267493615404,17.91996800116172,126.3794097470958,0.6647721211816329,14.239029261189511,-5.02400016784668,-95.03600311279297,-5.142000198364258,-96.98100280761719,PFL1
5904665.0,40,824.5168648375226,493.51226596591914,21.14145807275699,46.527525823846645,1.7114137243746548,11.707167837637831,24.51799964904785,-50.834999084472656,24.6299991607666,-45.95600128173828,PFL1
5904666.0,187,2990.8177953298637,149.8491540736352,16.079665566289588,57.54863544189346,1.8448864486915424,9.19200765832495,24.452999114990234,-55.9379997253418,24.187999725341797,-57.38800048828125,PFL1
5904667.0,93,1270.7911356408636,393.3179359798859,13.812947126531126,60.925325332776914,1.3340610799224764,9.812498783086994,24.496999740600586,-62.6870002746582,25.371000289916992,-58.90700149536133,PFL1
5904769.0,295,8558.798072309615,1542.5627873492708,29.111558069080324,152.720228496793,0.7332433086038753,25.92797844484274,45.11600112915039,-43.683998107910156,47.76100158691406,-23.863000869750977,PFL1
5904988.0,88,3647.286104184946,1358.1790021338145,41.922828783735014,132.12856278272966,3.7484717575234487,28.490099847777632,53.99700164794922,-52.20100021362305,52.590999603271484,-31.82900047302246,PFL1
5906019.0,146,2816.2729688099826,154.47882169933646,19.422572198689537,122.39666141554879,2.134470024024168,14.822059170147492,-4.085000038146973,-95.12100219726562,-3.384000062942505,-96.322998046875,PFL1
5906021.0,164,2525.1442405732746,93.31128389510302,15.491682457504751,72.76305867478688,0.3514621549028889,9.852553355122161,4.980000019073486,-90.822998046875,4.203000068664551,-91.14099884033203,PFL1
5906041.0,13,130.46867468666792,16.864120593506275,10.872389557222327,39.866227941526525,1.3002129762405084,10.515007481238179,-7.914000034332275,-95.02899932861328,-7.789512634277344,-95.11644744873047,PFL1
5906339.0,8,255.8249748842703,133.64434147418572,36.54642498346718,62.5028927391415,12.87604525256494,16.22842727446462,20.091999053955078,-52.367000579833984,20.18899917602539,-51.090999603271484,PFL1
5906340.0,8,242.31013394032482,203.3434544158715,34.6157334200464,47.39757586769963,9.688289681672918,11.193930673887223,24.10700035095215,-52.42100143432617,24.569000244140625,-54.362998962402344,PFL1
5906343.0,7,244.6386161306869,211.9747745026345,40.773102688447814,70.95608330349896,6.063771472017542,24.43031610112047,15.982000350952148,-52.354000091552734,16.899999618530273,-54.09600067138672,PFL1
5906437.0,5,182.0800097736116,95.9836990038837,45.5200024434029,65.31063611278329,25.902289302051248,17.75420978323308,16.559999465942383,-67.3479995727539,17.41699981689453,-67.23999786376953,PFL1
5906440.0,8,317.82904967383365,293.7287890913975,45.404149953404804,75.80738434170571,17.198459759179922,17.14166135275621,31.729999542236328,-52.310001373291016,30.23200035095215,-54.847999572753906,PFL1
6900524.0,58,2435.450732511531,42.974586217805154,42.727205833535635,304.36017416277343,0.47052900115678087,43.3740778260515,7.085999965667725,-22.91200065612793,7.459000110626221,-22.809999465942383,PFL1
6900627.0,84,2978.9972646207193,706.8115516577618,35.891533308683364,296.782506066897,3.1504984060603127,35.197201090379245,16.16200065612793,-18.00200080871582,9.824999809265137,-18.51300048828125,PFL1
6900628.0,174,7815.251446317357,246.8228218799656,45.17486385154541,1405.4229143978216,1.1625843491002388,107.8114380445121,18.00200080871582,-19.0,16.51099967956543,-17.277999877929688,PFL1
6900629.0,52,1892.3119098610714,87.40090286769222,37.10415509531513,404.49960903206994,1.7940272192059519,76.36677877803632,8.008000373840332,-22.076000213623047,8.182999610900879,-22.850000381469727,PFL1
6900630.0,154,6753.097635227608,730.703018565702,44.137893040703325,578.2135292871754,2.21131012165468,66.64666298075082,17.503000259399414,-24.336999893188477,22.82200050354004,-28.450000762939453,PFL1
6900631.0,78,2988.6365992174706,410.79256569590916,38.813462327499614,128.6568190077892,2.871063069298074,22.375609966526895,19.989500045776367,-18.003799438476562,20.324100494384766,-21.923099517822266,PFL1
6900632.0,87,2778.2496444497606,1298.8235898055275,32.30522842383443,181.2575960738553,0.17823826165694961,22.01339354088916,17.99850082397461,-17.0,21.24180030822754,-28.917600631713867,PFL1
6900764.0,95,3948.2038715584013,479.4762901334329,42.00216884636597,96.45271426868916,7.111470846691189,19.888660070468834,25.742000579833984,-19.586999893188477,21.67099952697754,-21.139999389648438,PFL1
6900784.0,72,3255.7090831325354,299.4445311282674,45.85505750890895,102.57213841950548,7.003273336779414,22.28808886482882,45.98099899291992,-7.901000022888184,44.137001037597656,-10.680000305175781,PFL1
